Filename,Page/folio,Side,Label
052_fob.tif,fob.tif,,Front outside binding
052_fib.tif,fib.tif,,Front inside binding
052_a_R.tif,a,R,f. a R
052_a_V.tif,a,V,f. a V
052_b_R.tif,b,R,f. b R
052_b_V.tif,b,V,f. b V
052_i_R.tif,i,R,f. i R
052_i_V.tif,i,V,f. i V
052_ii_R.tif,ii,R,f. ii R
052_ii_V.tif,ii,V,f. ii V
052_iii_R.tif,iii,R,f. iii R
052_iii_V.tif,iii,V,f. iii V
052_iv_R.tif,iv,R,f. iv R
052_iv_V.tif,iv,V,f. iv V
052_001_R.tif,1,R,f. 001 R
052_001_V.tif,1,V,f. 001 V
052_002_R.tif,2,R,f. 002 R
052_002_V.tif,2,V,f. 002 V
052_003_R.tif,3,R,f. 003 R
052_003_V.tif,3,V,f. 003 V
052_004_R.tif,4,R,f. 004 R
052_004_V.tif,4,V,f. 004 V
052_005_R.tif,5,R,f. 005 R
052_005_V.tif,5,V,f. 005 V
052_006_R.tif,6,R,f. 006 R
052_006_V.tif,6,V,f. 006 V
052_007_R.tif,7,R,f. 007 R
052_007_V.tif,7,V,f. 007 V
052_008_R.tif,8,R,f. 008 R
052_008_V.tif,8,V,f. 008 V
052_009_R.tif,9,R,f. 009 R
052_009_V.tif,9,V,f. 009 V
052_010_R.tif,10,R,f. 010 R
052_010_V.tif,10,V,f. 010 V
052_011_R.tif,11,R,f. 011 R
052_011_V.tif,11,V,f. 011 V
052_012_R.tif,12,R,f. 012 R
052_012_V.tif,12,V,f. 012 V
052_013_R.tif,13,R,f. 013 R
052_013_V.tif,13,V,f. 013 V
052_014_R.tif,14,R,f. 014 R
052_014_V.tif,14,V,f. 014 V
052_015_R.tif,15,R,f. 015 R
052_015_V.tif,15,V,f. 015 V
052_016_R.tif,16,R,f. 016 R
052_016_V.tif,16,V,f. 016 V
052_017_R.tif,17,R,f. 017 R
052_017_V.tif,17,V,f. 017 V
052_018_R.tif,18,R,f. 018 R
052_018_V.tif,18,V,f. 018 V
052_019_R.tif,19,R,f. 019 R
052_019_V.tif,19,V,f. 019 V
052_020_R.tif,20,R,f. 020 R
052_020_V.tif,20,V,f. 020 V
052_021_R.tif,21,R,f. 021 R
052_021_V.tif,21,V,f. 021 V
052_022_R.tif,22,R,f. 022 R
052_022_V.tif,22,V,f. 022 V
052_023_R.tif,23,R,f. 023 R
052_023_V.tif,23,V,f. 023 V
052_024_R.tif,24,R,f. 024 R
052_024_V.tif,24,V,f. 024 V
052_025_R.tif,25,R,f. 025 R
052_025_V.tif,25,V,f. 025 V
052_026_R.tif,26,R,f. 026 R
052_026_V.tif,26,V,f. 026 V
052_027_R.tif,27,R,f. 027 R
052_027_V.tif,27,V,f. 027 V
