Filename,Page,Side,Label
217_fob.tif,fob,,Front outside binding
217_fib.tif,fib,,Front inside binding
217_001_R.tif,1,R,f. 001 R
217_001_V.tif,1,V,f. 001 V
217_002_R.tif,2,R,f. 002 R
217_002_V.tif,2,V,f. 002 V
217_003_R.tif,3,R,f. 003 R
217_003_V.tif,3,V,f. 003 V
217_004_R.tif,4,R,f. 004 R
217_004_V.tif,4,V,f. 004 V
217_005_R.tif,5,R,f. 005 R
217_005_V.tif,5,V,f. 005 V
217_006_R.tif,6,R,f. 006 R
217_006_V.tif,6,V,f. 006 V
217_007_R.tif,7,R,f. 007 R
217_007_V.tif,7,V,f. 007 V
217_008_R.tif,8,R,f. 008 R
217_008_V.tif,8,V,f. 008 V
217_009_R.tif,9,R,f. 009 R
217_009_V.tif,9,V,f. 009 V
217_010_R.tif,10,R,f. 010 R
217_010_V.tif,10,V,f. 010 V
217_011_R.tif,11,R,f. 011 R
217_011_V.tif,11,V,f. 011 V
217_012_R.tif,12,R,f. 012 R
217_012_V.tif,12,V,f. 012 V
217_013_R.tif,13,R,f. 013 R
217_013_V.tif,13,V,f. 013 V
217_014_R.tif,14,R,f. 014 R
217_014_V.tif,14,V,f. 014 V
217_015_R.tif,15,R,f. 015 R
217_015_V.tif,15,V,f. 015 V
217_016_R.tif,16,R,f. 016 R
217_016_V.tif,16,V,f. 016 V
217_017_R.tif,17,R,f. 017 R
217_017_V.tif,17,V,f. 017 V
217_018_R.tif,18,R,f. 018 R
217_018_V.tif,18,V,f. 018 V
217_019_R.tif,19,R,f. 019 R
217_019_V.tif,19,V,f. 019 V
217_020_R.tif,20,R,f. 020 R
217_020_V.tif,20,V,f. 020 V
217_021_R.tif,21,R,f. 021 R
217_021_V.tif,21,V,f. 021 V,folio side exists but is not able to be imaged
217_025_R.tif,25,R,f. 025 R
217_025_V.tif,25,V,f. 025 V,folio side exists but is not able to be imaged
217_209_R.tif,209,R,f. 209 R
217_209_V.tif,209,V,f. 209 V,folio side exists but is not able to be imaged
217_bib.tif,bib,,Back inside binding
217_bob.tif,bob,,Back outside binding
217_SPN.tif,spn,,Spine
217_TFE.tif,tfe,,Top edge
217_SFE.tif,sfe,,Foredge
217_BFE.tif,bfe,,Bottom edge
