Filename,ms,page,side
245_fob_NC_46.jp2,fob,,Front outside cover
245_fib_NC_46.jp2,fib,,Front inside cover
245_a_R_NC_46.jp2,a,r,f. a r
245_a_V_NC_46.jp2,a,v,f. a v
245_i_R_NC_46.jp2,i,r,f. i r
245_i_V_NC_46.jp2,i,v,f. i v
245_ii_R_NC_46.jp2,ii,r,f. ii r
245_ii_V_NC_46.jp2,ii,v,f. ii v
245_iii_R_NC_46.jp2,iii,r,f. iii r
245_iii_V_NC_46.jp2,iii,v,f. iii v
245_001_R_NC_46.jp2,1,r,f. 1 r
245_001_V_NC_46.jp2,1,v,f. 1 v
245_002_R_NC_46.jp2,2,r,f. 2 r
245_002_V_NC_46.jp2,2,v,f. 2 v
245_003_R_NC_46.jp2,3,r,f. 3 r
245_003_V_NC_46.jp2,3,v,f. 3 v
245_004_R_NC_46.jp2,4,r,f. 4 r
245_004_V_NC_46.jp2,4,v,f. 4 v
245_005_R_NC_46.jp2,5,r,f. 5 r
245_005_V_NC_46.jp2,5,v,f. 5 v
245_006_R_NC_46.jp2,6,r,f. 6 r
245_006_V_NC_46.jp2,6,v,f. 6 v
245_007_R_NC_46.jp2,7,r,f. 7 r
245_007_V_NC_46.jp2,7,v,f. 7 v
245_008_R_NC_46.jp2,8,r,f. 8 r
245_008_V_NC_46.jp2,8,v,f. 8 v
245_009_R_NC_46.jp2,9,r,f. 9 r
245_009_V_NC_46.jp2,9,v,f. 9 v
245_010_R_NC_46.jp2,10,r,f. 10 r
245_010_V_NC_46.jp2,10,v,f. 10 v
245_011_R_NC_46.jp2,11,r,f. 11 r
245_011_V_NC_46.jp2,11,v,f. 11 v
245_012_R_NC_46.jp2,12,r,f. 12 r
245_012_V_NC_46.jp2,12,v,f. 12 v
245_013_R_NC_46.jp2,13,r,f. 13 r
245_013_V_NC_46.jp2,13,v,f. 13 v
245_014_R_NC_46.jp2,14,r,f. 14 r
245_014_V_NC_46.jp2,14,v,f. 14 v
245_015_R_NC_46.jp2,15,r,f. 15 r
245_015_V_NC_46.jp2,15,v,f. 15 v
245_016_R_NC_46.jp2,16,r,f. 16 r
245_016_V_NC_46.jp2,16,v,f. 16 v
245_017_R_NC_46.jp2,17,r,f. 17 r
245_017_V_NC_46.jp2,17,v,f. 17 v
245_018_R_NC_46.jp2,18,r,f. 18 r
245_018_V_NC_46.jp2,18,v,f. 18 v
245_019_R_NC_46.jp2,19,r,f. 19 r
245_019_V_NC_46.jp2,19,v,f. 19 v
245_020_R_NC_46.jp2,20,r,f. 20 r
245_020_V_NC_46.jp2,20,v,f. 20 v
245_021_R_NC_46.jp2,21,r,f. 21 r
245_021_V_NC_46.jp2,21,v,f. 21 v
245_022_R_NC_46.jp2,22,r,f. 22 r
245_022_V_NC_46.jp2,22,v,f. 22 v
245_023_R_NC_46.jp2,23,r,f. 23 r
245_023_V_NC_46.jp2,23,v,f. 23 v
245_024_R_NC_46.jp2,24,r,f. 24 r
245_024_V_NC_46.jp2,24,v,f. 24 v
245_025_R_NC_46.jp2,25,r,f. 25 r
245_025_V_NC_46.jp2,25,v,f. 25 v
245_026_R_NC_46.jp2,26,r,f. 26 r
245_026_V_NC_46.jp2,26,v,f. 26 v
245_027_R_NC_46.jp2,27,r,f. 27 r
245_027_V_NC_46.jp2,27,v,f. 27 v
245_028_R_NC_46.jp2,28,r,f. 28 r
245_028_V_NC_46.jp2,28,v,f. 28 v
245_029_R_NC_46.jp2,29,r,f. 29 r
245_029_V_NC_46.jp2,29,v,f. 29 v
245_030_R_NC_46.jp2,30,r,f. 30 r
245_030_V_NC_46.jp2,30,v,f. 30 v
245_031_R_NC_46.jp2,31,r,f. 31 r
245_031_V_NC_46.jp2,31,v,f. 31 v
245_032_R_NC_46.jp2,32,r,f. 32 r
245_032_V_NC_46.jp2,32,v,f. 32 v
