Filename,Page,Side,Label
580C_fob.tif,fob,,Front outside binding
580C_fib.tif,fib,,Front inside binding
580C_i_R.tif,i,R,f. i R
580C_i_V.tif,i,V,f. i V
580C_ii_R.tif,ii,R,f. ii R
580C_ii_V.tif,ii,V,f. ii V
580C_iii_R.tif,iii,R,f. iii R
580C_iii_V.tif,iii,V,f. iii V
580C_iv_R.tif,iv,R,f. iv R
580C_iv_V.tif,iv,V,f. iv v
580C_021_R.tif,21,R,f. 021 R
580C_021_V.tif,21,V,f. 021 V
580C_022_R.tif,22,R,f. 022 R
580C_022_V.tif,22,V,f. 022 V
580C_023_R.tif,23,R,f. 023 R
580C_023_V.tif,23,V,f. 023 V
580C_024_R.tif,24,R,f. 024 R
580C_024_V.tif,24,V,f. 024 V
580C_025_R.tif,25,R,f. 025 R
580C_025_V.tif,25,V,f. 025 V
580C_026_R.tif,26,R,f. 026 R
580C_026_V.tif,26,V,f. 026 V
580C_027_R.tif,27,R,f. 027 R
580C_027_V.tif,27,V,f. 027 V
580C_028_R.tif,28,R,f. 028 R
580C_028_V.tif,28,V,f. 028 V
580C_029_R.tif,29,R,f. 029 R
580C_029_V.tif,29,V,f. 029 V
580C_030_R.tif,30,R,f. 030 R
580C_030_V.tif,30,V,f. 030 V
580C_031_R.tif,31,R,f. 031 R
580C_031_V.tif,31,V,f. 031 V
580C_v_R.tif,v,R,f. v R
580C_v_V.tif,v,V,f. v V
580C_vi_R.tif,vi,R,f. vi R
580C_vi_V.tif,vi,V,f. vi V
580C_vii_R.tif,vii,R,f. vii R
580C_vii_V.tif,vii,V,f. vii V
580C_viii_R.tif,viii,R,f. viii R
580C_viii_V.tif,viii,V,f. viii V
580C_bib.tif,bib,,Back inside binding
580C_bob.tif,bob,,Back outside binding
